@relation naiveBayes

@attribute le0 numeric
@attribute le1 numeric
@attribute le2 numeric
@attribute le3 numeric
@attribute le4 numeric
@attribute le5 numeric
@attribute le6 numeric
@attribute le7 numeric
@attribute le8 numeric
@attribute re0 numeric
@attribute re1 numeric
@attribute re2 numeric
@attribute re3 numeric
@attribute re4 numeric
@attribute re5 numeric
@attribute re6 numeric
@attribute re7 numeric
@attribute re8 numeric
@attribute ll0 numeric
@attribute ll1 numeric
@attribute ll2 numeric
@attribute ll3 numeric
@attribute ll4 numeric
@attribute ll5 numeric
@attribute ll6 numeric
@attribute ll7 numeric
@attribute ll8 numeric
@attribute ul0 numeric
@attribute ul1 numeric
@attribute ul2 numeric
@attribute ul3 numeric
@attribute ul4 numeric
@attribute ul5 numeric
@attribute ul6 numeric
@attribute ul7 numeric
@attribute ul8 numeric
@attribute label {Normal,Drooping}

@data
94.771378,138.223007,218.85989,116.445946,151.747925,165.566391,20.581132,159.732717,0.036486,193.782272,236.377106,212.406578,215.420725,152.398865,165.194595,17.902159,159.780213,0.051837,128.90802,219.071487,981.514311,175.1193,271.800232,296.178894,69.510473,286.289995,0.04653,122.886894,223.940155,1333.476813,173.730718,252.263748,268.10257,22.927176,258.441913,0.048251,Drooping
79.680138,125.93605,250.46656,102.31048,176.368042,187.487579,13.191846,182.478666,0.01186,187.918472,235.852127,267.057164,212.280956,175.641861,186.784088,13.238704,181.703044,0.032146,115.717773,204.189316,935.008224,159.643775,298.733582,315.163757,36.893784,307.788852,0.004345,110.476974,209.505234,1296.795282,158.870789,282.316803,294.14566,16.510429,287.83235,0.004017,Drooping
69.990158,122.111816,316.877451,95.110278,165.556885,181.808502,28.609714,174.768448,0.013721,188.639511,241.915497,331.001138,216.128827,161.999878,178.528961,30.644512,171.390645,0.069469,108.927536,207.783447,1168.847412,157.963376,300.151703,318.233612,44.307966,310.103421,0.003272,103.205658,213.877625,1613.762983,157.302171,278.584534,294.641174,31.214259,285.90509,0.005255,Drooping
93.302444,143.168427,285.150392,118.036773,171.213257,183.679138,16.821593,178.116012,0.034638,205.104538,251.721512,257.353973,229.172332,170.84346,184.480286,19.776011,178.322104,0.037607,122.948517,209.584641,962.311608,167.688661,304.882721,335.738037,113.01632,322.608548,0.050042,118.686104,213.253799,1200.30811,169.281518,279.233459,300.933777,45.196873,287.777713,0.05704,Drooping
84.890442,127.06604,207.243072,105.594628,154.443375,168.20723,20.808067,162.306643,0.01732,182.153687,224.566132,209.993446,203.776693,149.77417,162.411758,18.263181,157.016579,0.092655,127.516556,203.856079,715.649703,166.118735,270.712219,291.289795,45.540614,283.408651,0.088554,123.20639,207.716614,954.056845,164.544672,251.005692,272.737915,44.15587,259.680521,0.091837,Drooping
76.109634,123.97287,273.846123,99.274308,213.580658,230.736526,32.32849,222.753193,0.101122,187.482132,238.138489,301.711015,213.536132,217.823944,233.721237,27.006742,226.243486,0.036313,117.905518,200.00885,818.246,157.998873,346.086517,362.653534,35.76037,355.274845,0.013478,113.658638,204.907822,1116.364308,157.731766,330.668091,343.100433,16.983118,336.331956,0.017643,Drooping
85.185059,134.360336,288.26407,109.030334,157.636993,172.112564,22.3707,165.708086,0.055537,199.340378,250.57193,310.639537,225.527715,157.042343,172.693024,26.081654,165.680573,0.046974,114.75943,200.057205,876.323201,157.162147,281.898865,302.314392,44.50728,294.266659,0.07343,110.024048,205.224152,1214.832149,157.659875,272.382965,284.162567,13.220291,276.693248,0.077541,Drooping
79.39711,131.552979,317.503419,104.624794,179.421524,194.341888,23.84964,187.574882,0.00643,201.516083,254.472595,325.17633,228.732649,179.396271,194.658936,25.410917,187.682579,0.005244,117.9356,207.656097,954.46872,163.240095,319.906128,333.053284,19.927759,327.732293,0.038012,112.343277,212.900879,1356.543439,162.754306,301.492706,320.385956,37.775741,309.936446,0.038732,Drooping
53.205864,107.450226,353.689506,79.918217,180.242111,197.932236,35.591631,189.972058,0.129251,177.685928,233.664093,371.376187,205.995359,183.608948,199.555634,28.072793,192.311223,0.089237,100.324982,195.5233,1080.469987,146.768928,318.846222,341.356415,60.432837,331.971012,0.035697,94.716309,201.9086,1533.461118,146.997017,309.347717,316.782928,4.888651,312.072335,0.040061,Drooping
85.274521,130.872513,242.532564,107.302089,159.647217,172.235504,17.56863,166.583126,0.08197,189.976791,237.016983,255.47916,214.258985,165.584991,178.373337,18.219551,172.584926,0.026514,110.301285,195.815582,867.989295,152.007385,274.560699,293.445801,37.032932,286.628998,0.093235,105.466042,201.646149,1226.328157,153.093901,260.01886,278.132172,30.066146,267.049461,0.094717,Drooping
110.35466,149.599213,175.678558,130.016946,180.602997,191.820633,13.770839,186.761892,0.114231,195.430832,228.360016,132.778316,212.513806,168.538132,178.627716,13.578374,173.927473,0.210376,155.549133,223.103851,551.148521,193.512733,254.08284,277.06366,53.136549,269.243902,0.214305,149.574692,225.706848,773.074388,190.934354,246.709335,264.630798,39.922769,253.196522,0.211091,Drooping
123.635872,144.995667,55.740431,134.160823,112.155151,121.800499,12.57367,116.941812,0.398151,175.082367,199.002365,65.187704,187.27837,131.437973,141.292587,12.76093,136.538928,0.355418,116.753784,156.87056,197.736768,134.63898,180.911087,196.096146,30.0625,190.847187,0.366729,115.656662,160.021545,261.945932,138.128394,173.215958,194.972137,51.92885,180.895129,0.364323,Drooping
84.913773,133.687653,275.974586,108.950883,223.473358,236.140823,17.666873,230.560692,0.069143,194.727356,242.326813,267.819687,219.121812,215.917145,227.287689,14.603173,222.136347,0.086849,136.87178,224.185059,913.818539,182.34117,335.407074,358.667572,56.163544,350.176924,0.115645,130.541763,228.790009,1287.301636,179.951405,325.25293,341.089355,26.004624,330.901961,0.117501,Drooping
96.981308,138.056747,195.868464,117.271768,194.534302,211.407089,30.831104,203.350073,0.037496,187.403488,224.136734,161.247651,206.364255,188.603485,204.021179,28.782565,196.557902,0.19481,137.22348,199.06842,479.1861,169.29824,318.538239,337.493927,38.567676,330.090373,0.111324,134.236511,201.392792,616.37867,169.903477,302.62323,322.113464,35.611223,310.472859,0.111733,Drooping
101.988365,140.871292,179.071831,120.812127,186.398544,202.257751,30.951492,194.846332,0.210384,194.258804,236.487701,203.104337,216.135982,204.387604,220.599945,31.248866,213.084969,0.178285,113.582954,175.425034,483.52663,142.406564,306.120544,328.061005,50.144116,320.360755,0.231992,111.815498,179.018265,612.516573,145.807155,284.733154,317.443024,101.736206,297.583033,0.232989,Drooping
